##A##         ##B## 
	            
235.40	      273.27
234.99	      275.16
227.93	      272.12
231.87	      277.33
237.54	      272.85
235.52	      262.45
229.89	      271.44
244.52	      268.38
246.83	      275.96
243.25	      264.90
234.90	      266.15
239.69	      272.13
227.22	      269.69
231.71	      266.73
230.56	      268.39
236.13	      271.95
230.28	      262.86
232.64	      268.09
226.44	      269.19
233.80	      266.57
232.38	      270.56
230.02	      271.55
240.62	      270.23
228.14	      273.44
242.59	      271.85
228.53	      274.01
242.97	      266.52
236.51	      269.79
234.17	      270.73
236.33	      273.33
233.88	      271.29
225.88	      272.59
235.11	      264.83
234.38	      271.35
232.75	      270.68
236.31	      272.64
235.72	      264.70
239.63	      269.64
232.73	      271.62
234.33	      271.86
232.05	      276.30
237.20	      274.06
237.13	      273.05
228.04	      268.97
243.48	      270.32
223.93	      270.96
236.64	      268.63
231.94	      272.37
232.51	      270.91
222.30	      270.60





















































